carpetArea,areaUnit,price,status,latitude,longitude,locality,propertyName,floors,bedRoom
823,sq.ft.,16500000,Ready to move,19.20697,73.096559,Dombivli East,on request,15,3
1200,sq.ft.,17500000,Ready to move,19.20697,73.096559,Dombivli East,on request,15,2
800,sq.ft.,12200000,Ready to move,19.210737,73.122262,Dombivli East,Regency Anantam,23,2
745,sq.ft.,8500000,Ready to move,19.20697,73.096559,Dombivli East,Regency Anantam,23,2
650,sq.ft.,8500000,Ready to move,19.20697,73.096559,Dombivli East,Regency Anantam,23,2
750,sq.ft.,8500000,Ready to move,19.20697,73.096559,Dombivli East,Regency Anantam,23,1
515,sq.ft.,5200000,Ready to move,19.20697,73.096559,Dombivli East,Regency Anantam,23,1
1201,sq.ft.,17600000,Ready to move,19.20697,73.096559,Dombivli East,Globe Paradise,15,2
1115,sq.ft.,16000000,Ready to move,19.20997,73.0991,Dombivli East,Globle pradise,15,2
1161,sq.ft.,price on req,Ready To Move,19.14684,73.0773388,Nilje Gaon,Casa Rio Gold Viviana,8,2
638,sq.ft.,4400000,Ready to move,19.20697,73.096559,Dombivli East,Lodha Palava Downtown,18,1
637,sq.ft.,5100000,Ready to move,19.20697,73.096559,Dombivli East,Lodha Palava Lakeshore Green,18,2
470.49,sq.ft.,4363752,Under Construction,19.20697,73.096559,Dombivli East,Lodha Palava Lakeshore Green,18,2
616.505,sq.ft.,6254338.5,Under Construction,19.20697,73.096559,Dombivli East,Lodha Palava Lakeshore Green,18,2
574,sq.ft.,4600000,Ready to move,19.20697,73.096559,Dombivli East,Lodha Palava City,8,2
448,sq.ft.,3100000,Ready to move,19.20697,73.096559,Dombivli East,Lodha Palava Downtown,18,1
716,sq.ft.,5150000,Ready to move,19.179273,73.075743,Dombivli East,Runwal My City,32,1
734,sq.ft.,5500000,Ready to move,19.179273,73.075743,Dombivli East,Runwal My City,32,2
648,sq.ft.,4200000,Ready to move,19.179273,73.075743,Dombivli East,Runwal My City,32,3
715,sq.ft.,5300000,Ready to move,19.179273,73.075743,Dombivli East,Runwal My City,32,1
774,sq.ft.,4200000,Ready to move,19.179273,73.075743,Dombivli East,Runwal My City,32,2
448,sq.ft.,3100000,Ready to move,19.179273,73.075743,Dombivli East,Runwal My City,32,3
406.85,sq.ft.,4741049,Ready To Move,19.20697,73.096559,Dombivli East,Runwal My City,32,2
580.265,sq.ft.,6803589,Ready To Move,19.20697,73.096559,Dombivli East,Lodha Palava Lakeshore Green,18,2
760.97,sq.ft.,9546755.5,Ready To Move,19.20697,73.096559,Dombivli East,Lodha Palava Lakeshore Green,18,3
406.85,sq.ft.,4741049,Ready To Move,19.20697,73.096559,Dombivli East,Lodha Palava Lakeshore Green,18,2
580.265,sq.ft.,6803589,Ready To Move,19.20697,73.096559,Dombivli East,Lodha Palava Lakeshore Green,22,3
760.97,sq.ft.,9546755.5,Ready To Move,19.20697,73.096559,Dombivli East,Lodha Casa Bella Gold,19,2
615,sq.ft.,5500000,Ready to move,19.20697,73.096559,Dombivli East,Lodha Casa Bella Gold,8,1
480,sq.ft.,3500000,Ready to move,19.168341,73.073962,Dombivli East,Lodha Palava City,8,2
604,sq.ft.,4000000,Ready to move,19.20697,73.096559,Dombivli East,Lodha Casa Bella Gold,19,2
576,sq.ft.,4600000,Ready to move,19.20697,73.096559,Dombivli East,Lodha Casa Bella Gold,19,2
873,sq.ft.,price on req,Ready To Move,19.168341,73.073962,Dombivli East,Lodha Palava City,19,2
735,sq.ft.,7450000,Ready to move,19.17099,73.113277,Dombivli East,Lodha Lakeshore Greens,17,2
344,sq.ft.,3699000,Under Construction,19.182469,73.089484,Bhadra Nagar,Runwal Gardens,32,1
47.25,sq.m.,7500000,Ready to move,19.179273,73.075743,Dombivli East,Runwal My City,19,2
700,sq.ft.,6500000,Ready to move,19.22551,73.09673,thakurli,kt heights,7,2
908,sq.ft.,12000000,Under Construction,19.20697,73.096559,Bhadra Nagar,Runwal Gardens,23,3
390,sq.ft.,2400000,Ready to move,19.20697,73.096559,Dombivli East,Global Park,4,1
530,sq.ft.,5000000,Ready to move,19.20697,73.096559,Dombivli East,Mayur Chhaya CHS,3,1
435,sq.ft.,4200000,Ready to move,19.217614,73.087456,Ram Nagar,Neelkanth Ashish,4,1
325,sq.ft.,2700000,Ready to move,19.20697,73.096559,Dombivli East,Radha vihar chs,4,1
640,sq.ft.,5500000,Ready to move,19.20697,73.096559,Dombivli East,Lodha Casa Bella Gold,18,2
685,sq.ft.,7000000,Ready to move,19.211319,73.100986,Sagarli,Giriraj Hsg Soc Ltd,5,1
750,sq.ft.,8300000,Ready to move,19.20697,73.096559,Dombivli East,lodha codename golden dream,12,1
305,sq.ft.,2500000,Ready to move,19.168341,73.073962,Dombivli East,Lodha Palava City,18,2
590,sq.ft.,5500000,Ready to move,19.174429,73.069306,Dombivli East,Lodha Casa Bella,8,2
590,sq.ft.,4550000,Ready to move,19.205652,73.094377,Dombivli East,Vijay Complex,4,1
300,sq.ft.,1650000,Ready to move,19.198373,73.093683,Dombivli East,Shree Krishna Gokuldham,7,2
815,sq.ft.,5500000,Ready to move,19.157104,73.114456,Dombivli East,Lodha casa aurelia,22,1
442,sq.ft.,4500000,Ready to move,19.245098,73.10902,Dombivli East,Laxmi Sagar Apartment,4,2
600,sq.ft.,3500000,Ready to move,19.20697,73.096559,Dombivli East,Sai Siddhi Heights CHS,7,1
300,sq.ft.,1500000,Ready to move,19.204305,73.087307,Sunil Nagar,Annapurna Swagat CHS,4,1
475,sq.ft.,3800000,Ready to move,19.20457551,73.10956389,Dawadi Gaon,Dhanlaxmi Ekvira Apartment,4,1
550,sq.ft.,4000000,Ready to move,19.209904,73.107393,Dombivli East,Bhavya Mauli Residency,5,1
500,sq.ft.,4000000,Ready to move,19.20697,73.096559,Dombivli East,sanghvi garden green ville,4,1
655,sq.ft.,3600000,Ready to move,19.206434,73.096499,Dombivli East,Shankar Parvati CHS,4,1
425,sq.ft.,2200000,Ready to move,19.20697,73.096559,Dombivli East,shree mahavir nagar chs,5,1
350,sq.ft.,3200000,Ready to move,19.20697,73.096559,Dombivli East,Gurudev Darshan,4,1
525,sq.ft.,4700000,Ready to move,19.20697,73.096559,Dombivli East,Om Amrut Smruti,4,1
425,sq.ft.,5000000,Ready to move,19.20877,73.094875,Ayodhya Nagari,Jupiter Plaza,4,1
490,sq.ft.,5800000,Ready to move,19.20697,73.096559,Dombivli East,Vaibhav Nagari CHS,6,1
525,sq.ft.,2500000,Ready to move,19.186514,72.953969,Dombivli East,Shree Balaji Heights,5,1
610,sq.ft.,3200000,Ready to move,19.205982,73.102411,Dombivli East,Vedant Orchid Residency,8,1
445,sq.ft.,2800000,Ready to move,19.21241,73.07693,Dombivli East,jai on shivalika chs.,4,1
565,sq.ft.,3200000,Ready to move,19.198752,73.093678,Dombivli East,Maruti Complex,4,1
565,sq.ft.,3700000,Ready to move,19.209037,73.083999,Dombivli East,Ekveera DHP Galaxy,8,1
390,sq.ft.,4000000,Ready to move,19.20697,73.096559,Dombivli East,Sai Flora,7,1
475,sq.ft.,3000000,Ready to move,19.205247,73.106393,Dombivli East,Guru Milan CHS,4,1
575,sq.ft.,5100000,Ready to move,19.20697,73.096559,Dombivli East,nilesh bhuvan,5,2
580,sq.ft.,3500000,Ready to move,19.20697,73.096559,Dombivli East,Lodha Casa Bella,8,1
526,sq.ft.,4600000,Ready to move,19.179273,73.075743,Dombivli East,Runwal My City,32,2
576,sq.ft.,7200000,Ready to move,19.222716,73.104047,thakurli,Shree Chamunda Garden,7,1
350,sq.ft.,2000000,Ready to move,19.181137,73.06358,Dombivli East,Anantnath And Forever City,12,2
625,sq.ft.,6100000,Ready to move,19.2146901,73.0833843,Dombivli East,Shree Sai Raj Park Bldg No 3,10,2
705,sq.ft.,8000000,Ready to move,19.2146901,73.0833843,Dombivli East,Shree Sai Raj Park Bldg No 3,10,1
580,sq.ft.,6200000,Ready to move,73.110872,19.224665,Dombivli East,Sneh Residency,13,1
470,sq.ft.,4900000,Ready to move,19.2004471,73.0860462,Dombivli East,Nav Shree Sankalp CHS,4,1
395,sq.ft.,2600000,Ready to move,19.206393,73.096753,Dombivli East,Rajshree Complex,7,1
440,sq.ft.,3600000,Ready to move,19.205612,73.097194,Dombivli East,Mansarovar Apartment,4,1
686,sq.ft.,6500000,Ready to move,19.20794,73.09832,Dombivli East,Universal Apartment,5,1
540,sq.ft.,4500000,Ready to move,19.212039,73.096445,Dombivli East,Sai Dham,4,1
400,sq.ft.,3000000,Ready to move,19.179273,73.075743,Dombivli East,Runwal My City,32,2
541,sq.ft.,6000000,Ready to move,19.23403,73.088799,Kumbharkhan Pada,Shankeshwar Palms,7,1
419,sq.ft.,4300000,Ready to move,19.207191,73.098754,Dombivli East,Durga Apartment,6,1
470,sq.ft.,5000000,Ready to move,73.10902,19.245098,Dombivli East,Asha Paradise,3,2
730,sq.ft.,5200000,Ready to move,19.208154,73.104113,Dombivli East,Meera Sankul CHS,7,1
600,sq.ft.,6500000,Ready to move,19.20697,73.096559,Dombivli East,Vishnu Sai Paradise,7,1
430,sq.ft.,3000000,Ready to move,19.20697,73.096559,Dombivli East,"Lodha Palava City, Lakeshoregreen ",18,2
638,sq.ft.,5100000,Ready to move,19.2161,73.099,Dombivli East,River Scape Apartments,18,3
415,sq.ft.,4750000,Ready to move,19.195541,73.095466,Sagaon,Ashtvinayak Darshan,5,1
325,sq.ft.,1150000,Ready to move,19.20697,73.096559,Dombivli East,takshila building ,4,1
295,sq.ft.,2000000,Ready to move,19.18863,73.08415,Dombivli East,Lodha Panacea,15,1
495,sq.ft.,4800000,Ready to move,19.20572,73.09553,Dombivli East,Shree Samarth Krupa Chs,4,1
500,sq.ft.,1600000,Ready to move,19.179273,73.075743,Dombivli East,Runwal My City,30,1
456,sq.ft.,4500000,Ready to move,19.168341,73.073962,Dombivli East,Lodha Palava City,8,3
930,sq.ft.,8500000,Ready to move,19.168341,73.073962,Dombivli East,Lodha Palava City,14,1
700,sq.ft.,5000000,Ready to move,19.20697,73.096559,Dombivli East,swami recedency,7,1
465,sq.ft.,3500000,Ready to move,19.198507,73.084585,Nandivali Gaon,Shree Ganesh Dham,4,1
480,sq.ft.,1800000,Ready to move,19.205322,73.086906,Dombivli East,Sai Shanti CHS,4,1
625,sq.ft.,3400000,Ready to move,19.20697,73.096559,Dombivli East,Attractive Height,7,1
560,sq.ft.,2000000,Under Construction,19.216642,73.127506,Nandivali Gaon,j raghuvir chs,3,1
500,sq.ft.,5200000,Ready to move,19.212614,73.088943,Dattanagar,Om Krishna Krupa CHS,7,2
700,sq.ft.,8500000,Ready to move,19.159614,73.071246,Dombivli East,Siddharth Riverwood Park,7,1
36.51,sq.m.,3800000,Ready to move,19.179273,73.075743,Dombivli East,Runwal My City,28,2
575,sq.ft.,5500000,Ready to move,19.203739,73.092704,Dombivli East,Anandvan 16 CHS,3,1
540,sq.ft.,4400000,Ready to move,19.21660877,73.08760129,Ramnagar,Gaondevi Ashirwad Bldg,4,1
421,sq.ft.,4500000,Ready to move,19.20697,73.096559,Dombivli East,DOMBIVALI(West),4,1
485,sq.ft.,3500000,Ready to move,19.207473,73.099097,Dombivli East,Lodha Heaven Apartment,7,1
490,sq.ft.,3000000,Ready to move,19.200599,73.111648,Dawadi Gaon,Shree Sai Ashirwad,5,1
675,sq.ft.,7000000,Ready to move,19.17099,73.113277,Dombivli East,Lodha Lakeshore Greens,18,2
641,sq.ft.,5700000,Ready to move,19.196731,73.112178,Dombivli East,Sai Orchid,7,2
820,sq.ft.,5000000,Ready to move,19.179273,73.075743,Dombivli East,Runwal My City,27,2
524.42,sq.ft.,6300000,Ready to move,19.20552,73.097133,Dombivli East,Om Sai Shanti CHS,4,1
641,sq.ft.,5500000,Ready to move,19.204955,73.099882,Dombivli East,Gangeshwar Valley,7,1
460,sq.ft.,5600000,Ready to move,19.20697,73.096559,Dombivli East,d5 ananddeep no 3,4,1
735,sq.ft.,price on req,Ready To Move,19.223062,73.110119,Dombivli East,Amber Star,7,1
963,sq.ft.,price on req,Ready To Move,19.179273,73.075743,Dombivli East,Runwal My City,32,1
883,sq.ft.,price on req,Ready To Move,19.179273,73.075743,Dombivli East,Runwal My City,32,2
580.265,sq.ft.,6803589,Ready To Move,19.216293,73.11002,Dombivli East,Shree Ravi Kiran,4,1
760.97,sq.ft.,9546755.5,Ready To Move,19.205322,73.086906,Dombivli East,Sai Shanti CHS,4,1
